Date;actual;predicted
16.11.2020;479,10;482,4935751
17.11.2020;480,63;485,1603704
18.11.2020;481,79;483,9057054
19.11.2020;484,67;485,500439
20.11.2020;488,24;489,8796533
23.11.2020;476,62;479,2580103
24.11.2020;482,88;480,8028756
25.11.2020;485,00;481,758528
27.11.2020;491,36;488,0440248
30.11.2020;490,70;485,0014337
01.12.2020;504,58;505,5518727
02.12.2020;503,38;499,1214451
03.12.2020;497,52;501,9241492
04.12.2020;498,31;500,0613825
07.12.2020;515,78;512,0113329
08.12.2020;512,66;510,7411506
09.12.2020;493,60;497,722102
10.12.2020;501,09;500,5901122
11.12.2020;503,22;501,6904108
14.12.2020;522,42;516,583326
15.12.2020;519,78;519,5576578
16.12.2020;524,83;524,1555978
17.12.2020;532,90;532,3171195
18.12.2020;534,45;530,2228981
21.12.2020;528,91;525,0861607
22.12.2020;527,33;524,0999491
23.12.2020;514,48;517,465554
24.12.2020;513,97;516,2311706
28.12.2020;519,12;514,4590477
29.12.2020;530,87;529,2291476
30.12.2020;524,59;527,4974576
31.12.2020;540,73;539,2195905
04.01.2021;522,86;520,6581771
05.01.2021;520,80;521,250524
06.01.2021;500,49;502,9769655
07.01.2021;508,89;513,4430735
08.01.2021;510,40;507,5447192
11.01.2021;499,10;502,210138
12.01.2021;494,25;489,419166
13.01.2021;507,79;506,6809757
14.01.2021;500,86;506,7380061
15.01.2021;497,98;501,3850612
19.01.2021;501,77;502,2458438
20.01.2021;586,34;582,3952724
21.01.2021;579,84;578,4278363
22.01.2021;565,17;569,4996474
25.01.2021;556,78;554,4592642
26.01.2021;561,93;564,9273914
27.01.2021;523,28;526,2080878
28.01.2021;538,60;545,2734146
29.01.2021;532,39;534,3402604
01.02.2021;539,04;539,3347046
02.02.2021;548,16;550,1478152
03.02.2021;539,45;540,899564
04.02.2021;552,16;553,3528047
05.02.2021;550,79;548,7241762
08.02.2021;547,92;546,0129606
09.02.2021;559,07;559,058679
10.02.2021;563,59;558,6659906
11.02.2021;557,59;557,4997689
12.02.2021;556,52;555,5705409
16.02.2021;557,28;558,7830741
17.02.2021;551,34;547,9544699
18.02.2021;548,22;541,1655356
19.02.2021;540,22;541,5489148
22.02.2021;533,78;537,1315593
23.02.2021;546,15;537,4950496
24.02.2021;553,41;552,5579144
25.02.2021;546,70;543,2645284
26.02.2021;538,85;544,8797542
01.03.2021;550,64;548,0995006
02.03.2021;547,82;550,4994532
03.03.2021;520,70;524,2873564
04.03.2021;511,29;517,9264783
05.03.2021;516,39;505,7963484
08.03.2021;493,33;499,9123326
09.03.2021;506,44;509,2987515
10.03.2021;504,54;510,3438041
11.03.2021;523,06;525,1264986
12.03.2021;518,02;518,5707715
15.03.2021;520,25;513,1781325
16.03.2021;524,03;530,7247107
17.03.2021;524,44;520,7672771
18.03.2021;504,79;507,5011319
19.03.2021;512,18;508,9747997
22.03.2021;523,11;524,7869406
23.03.2021;535,09;540,2344596
24.03.2021;520,81;523,2236586
25.03.2021;502,86;501,8195198
26.03.2021;508,05;502,5999789
29.03.2021;513,95;514,4026156
30.03.2021;513,39;510,8978914
31.03.2021;521,66;525,4228708
01.04.2021;539,42;536,0599481
05.04.2021;540,67;533,6021512
06.04.2021;544,53;551,2194593
07.04.2021;546,99;546,9237662
08.04.2021;554,58;553,2081664
09.04.2021;555,31;551,7425462
12.04.2021;552,78;555,6504716
13.04.2021;553,73;553,9992878
14.04.2021;540,02;541,6504842
15.04.2021;549,22;550,5159868
16.04.2021;546,54;542,8853746
19.04.2021;554,44;553,6464706
20.04.2021;549,57;555,7684202
21.04.2021;508,90;512,3233182
22.04.2021;508,78;503,7687809
23.04.2021;505,55;503,4430492
26.04.2021;510,30;507,0600059
27.04.2021;505,55;506,711087
28.04.2021;506,52;506,6248684
29.04.2021;509,00;502,3130278
30.04.2021;513,47;512,8548594
03.05.2021;509,11;511,6838885
04.05.2021;503,18;500,1759912
05.05.2021;496,08;498,8112095
